UK Tech,UK Adj,FB,UIAA,French,Saxon Swiss,Nordic ,USA, V Grade 
1,M,1,1,1,I,1,5,VB-
2,M/D,1,2,2,II,1,5.1,VB-
3,D,1/2,3,3,III,1/2,5.2,VB-
4a,D/VD,2,4,4,IV,2,5.3,VB-
4a,VD,2,4+,4+,IV/V,2,5.4,VB-
4a/4b,S,2/3,5-,5a,V,2/3,5.5,VB-/VB
4b,HS,3,5,5a/5b,VI,3,5.6,VB
4c,HS/VS,4a,5+,5b,VI/VIIa,4a,5.7,VB/V0-
4c/5a,VS,4a/4b,6-,5b/5c,VIIa,4a/4b,5.8,V0-
5a,HVS,4b,6,5c,VIIb,4b,5.9,V0-/V0
5a /5b,E1,4c,6+,6a,VIIc,4c,5.10a,V0
5b,E1/E2,5a,7-,6a+,VIIIa,5a,5.10b,V0+
5b /5c,E2,5b,7,6b,VIIIb,5b,5.10c,V1
5c,E2/E3,5c,7+,6b+,VIIIc,5c,5.10d,V1/V2
5c,E3,6a,7+/8-,6c,VIIIc/IXa,6a,5.11a,V2
5c/6a,E3/E4,6a+,8-,6c+,IXa,6a+,5.11b,V2/V3
6a,E4,6b,8,7a,IXb,6b,5.11c,V3
6a,E4/E5,6b+,8+,7a+,IXc,6b+,5.11d,V3/V4
6a/6b,E5,6b+/6c,8+/9-,7b,Ixc/Xa,6b+/6c,5.12a,V4
6b,E5/E6,6c,9-,7b+,Xa,6c,5.12b,V4
6b / 6c,E6,6c+,9,7c,Xb,6c+,5.12c,V4/V5
6c,E6/E7,7a,9+,7c+,Xc,7a,5.12d,V5
6c,E7,7a+,9+/10-,8a,Xc,7a+,5.13a,V6
6c/7a,E7/E8,7a+/7b,10-,8a/8a+,Xc/XIa,7a+/7b,5.13b,V6/V7
7a,E8,7b,10-,8a+,XIa,7b,5.13c,V7
7a,E9,7b+,10,8b,XIb,7b+,5.13d,V8
7a/7b,E9/E10,7c,10+,8b+,XIc,7c,5.14a,V9
7b,E10,7c+,10+/11-,8c,XIc/XIIa,7c+,5.14b,V10
7b,E11,7c+/8a,11-,8c+,XIIa,7c+/8a,5.14c,V10/V11
7b,E11,8a,11,9a,XIIb,8a,5.14d,V11
> 7b,> E11,8a+,11,9a/9a+,XIIb,8a+,5.14d/ 5.15a,V12
> 7b,> E11,8a+/8b,11/11+,9a+,XIIb/XIIc,8a+/8b,5.15a,V12/V13
> 7b,> E11,8b,11+,9a+/9b,XIIc,8b,5.15a/ 5.15b,V13
> 7b,> E11,8b+,11+/12-,9b,XIIc,8b+,5.15b,V14
> 7b,> E11,8c,12-,9b+,> XIIc,8c,5.15c,V15
> 7b,> E11,8c+,12,9c,> XIIc,8c+,5.15d,V15
